Lexical item,Level
fatigarse,C1
no poder más,C1
no poder uno con su alma,C1
estar malo,C1
estar mareado,C1
sentir malestar,C1
sentir molestias,C1
sentir náuseas,C1
encontrarse bien,C1
encontrarse mal,C1
encontrarse fatal,C1
encontrarse de pena,C1
dar un dolor,C1
dar un pinchazo,C1
ruborizarse,C1
sonrojarse,C1
estar como una tapia,C1
estar sordo como una tapia,C1
no ver tres en un burro,C1
temblar como una hoja,C1
poner la carne de gallina,C1
poner la piel de gallina,C1
poner los pelos de punta,C1
ponerse la carne de gallina,C1
ponerse la piel de gallina,C1
ponerse los pelos de punta,C1
estar tonto,C1
estar atontado,C1
estar como una cabra,C1
ser cortés,C1
ser correcto,C1
ser considerado,C1
ser galante,C1
ser respetuoso,C1
ser grosero,C1
ser un maleducado,C1
ser un grosero,C1
comportarse civilizadamente,C1
comportarse correctamente,C1
comportarse diplomáticamente,C1
tener un comportamiento ejemplar,C1
tener un comportamiento modélico,C1
tener un comportamiento exquisito,C1
tener un comportamiento intachable,C1
tener un comportamiento brusco,C1
tener un comportamiento adecuado,C1
tener un comportamiento impropio,C1
tener unos modales exquisitos,C1
tener unos modales delicados,C1
tener unos modales bruscos,C1
tener unos modales pésimos,C1
hospitalidad,C1
austeridad,C1
humildad,C1
integridad,C1
altruismo,C1
intransigencia,C1
hospitalario,C1
austero,C1
humilde,C1
íntegro,C1
altruista,C1
intransigente,C1
tener principios,C1
tener valores,C1
tener escrúpulos,C1
tener moral,C1
tener ética,C1
tener amor propio,C1
carecer de principios,C1
carecer de valores,C1
carecer de escrúpulos,C1
carecer de moral,C1
carecer de ética,C1
carecer de amor propio,C1
tener aspiraciones,C1
tener afán de superación,C1
ser un caradura,C1
estar de suerte,C1
asumir una situación,C1
afrontar una situación,C1
hacer frente a una situación,C1
sonreírle a uno la suerte,C1
ser gafe,C1
nombre de pila,C1
nombre artístico,C1
apellido compuesto,C1
apellido de soltera,C1
seudónimo,C1
mote,C1
conservar el apellido,C1
residir,C1
habitar,C1
ser de origen francés,C1
ser de origen peruano,C1
ser de origen oriental,C1
ser de origen africano,C1
treintañero,C1
cuarentón,C1
persona de cierta edad,C1
caballero,C1
dama,C1
esposo,C1
matrimonio civil,C1
matrimonio religioso,C1
matrimonio de conveniencia,C1
pedir el divorcio,C1
pedir la separación,C1
solicitar el divorcio,C1
solicitar la separación,C1
obtener el divorcio,C1
obtener la separación,C1
tramitar el divorcio,C1
tramitar la separación,C1
conceder el divorcio,C1
conceder la separación,C1
ser un solterón,C1
ser un soltero de oro,C1
enviudar,C1
expedir el carné de conducir,C1
denegar el carné de conducir,C1
sacarse el carné de conducir,C1
expedir el permiso de residencia,C1
denegar el permiso de residencia,C1
sellar un documento,C1
traspapelarse un documento,C1
primo hermano,C1
primo segundo,C1
esposo,C1
bisnieto,C1
tataranieto,C1
padrastro,C1
madrastra,C1
padrino,C1
madrina,C1
antepasados,C1
parientes,C1
dinastía,C1
árbol genealógico,C1
generación,C1
familia monoparental,C1
familia política,C1
relación maternal,C1
relación paternal,C1
relación fraternal,C1
ser de buena familia,C1
ser el cabeza de familia,C1
formar parte de la familia,C1
formar una familia,C1
crear una familia,C1
mantener una familia,C1
sacar adelante una familia,C1
sobreproteger a los hijos,C1
manipular a los hijos,C1
malcriar a los hijos,C1
consentir a los hijos,C1
dominar a los hijos,C1
contradecir a los padres,C1
desafiar a los padres,C1
oponerse a los padres,C1
enfrentarse a los padres,C1
perder a un miembro de la familia,C1
perder a un ser querido,C1
regañar,C1
amigo entrañable,C1
amigo inseparable,C1
admirador,C1
fan,C1
anfitrión,C1
huésped,C1
relación pasajera,C1
relación estable,C1
relación duradera,C1
relación esporádica,C1
relación tormentosa,C1
relación pasajera,C1
relación inestable,C1
relación duradera,C1
relación esporádica,C1
relación tormentosa,C1
reunión social,C1
reunión vecinal,C1
reunión cordial,C1
iniciar una relación,C1
cortar una relación,C1
enfriarse una relación,C1
acabar con una relación,C1
mantener una relación de dependencia,C1
mantener una relación de convivencia,C1
mantener una relación de amor-odio,C1
tener una relación de dependencia,C1
tener una relación de convivencia,C1
tener una relación de amor-odio,C1
tener un idilio,C1
tener una relación fluida,C1
tener una relación cordial,C1
tener una relación estable,C1
mantener una relación fluida,C1
mantener una relación cordial,C1
mantener una relación estable,C1
crear lazos,C1
mantener lazos,C1
estrechar lazos,C1
crear lazos de amistad,C1
mantener lazos de amistad,C1
estrechar lazos de amistad,C1
vincularse con alguien,C1
conectar con alguien,C1
mezclarse con alguien,C1
andar con alguien,C1
dar un apretón de manos,C1
dar una palmada en el hombro,C1
darse un apretón de manos,C1
darse una palmada en el hombro,C1
felicitar cordialmente,C1
felicitar sinceramente,C1
felicitar efusivamente,C1
felicitar de corazón,C1
felicitar cordialmente,C1
felicitar sinceramente,C1
felicitar efusivamente,C1
felicitar de todo corazón,C1
despedirse oficialmente,C1
despedirse cariñosamente,C1
ligarse a alguien,C1
padrino,C1
madrina,C1
padrino de boda,C1
madrina de boda,C1
testigo,C1
inauguración,C1
clausura,C1
conmemoración,C1
fiesta patronal,C1
fiesta navideña,C1
fiesta oficial,C1
ceremonia solemne,C1
ceremonia académica,C1
fiesta animada,C1
fiesta apagada,C1
ser el rey,C1
ser el alma de la fiesta,C1
ser aguafiestas,C1
ser un aguafiestas,C1
hacer la primera comunión,C1
celebrar una boda por lo civil,C1
celebrar una boda por la Iglesia,C1
ponerse la alianza,C1
llevar la alianza,C1
ponerse la alianza de boda,C1
llevar la alianza de boda,C1
celebrar un acto,C1
inaugurar un acto,C1
presidir un acto,C1
suspender un acto,C1
hacer acto de presencia,C1
dar un discurso inaugural,C1
dar un discurso de clausura,C1
inaugurar las fiestas,C1
comenzar las fiestas,C1
clausurar las fiestas,C1
montar una fiesta a lo grande,C1
montar una fiesta por todo lo alto,C1
realizar una entrega de premios,C1
publicar el programa oficial de las fiestas,C1
anunciar el programa oficial de las fiestas,C1
aprobar el programa oficial de las fiestas,C1
dar el pésame,C1
dar la enhorabuena,C1
diligencia,C1
negligencia,C1
previsión,C1
imprevisión,C1
ineptitud,C1
adoptar una actitud abierta,C1
adoptar una actitud tolerante,C1
mantener una actitud abierta,C1
