Lexical item,Level
leche descremada,B1
leche desnatada,B1
nata,B1
margarina,B1
yogur natural,B1
yogur desnatado,B1
yogur con frutas,B1
costilla de cordero,B1
chuleta de cerdo,B1
pechuga de pollo,B1
solomillo de ternera,B1
aceite de oliva,B1
aceite de girasol,B1
vinagre,B1
mostaza,B1
clara de huevo,B1
yema de huevo,B1
cáscara de huevo,B1
receta,B1
ingredientes,B1
modo de preparación,B1
carne a la plancha,B1
carne frito,B1
carne hervido,B1
pescado a la plancha,B1
pescado frito,B1
pescado hervido,B1
blando,B1
duro,B1
crudo,B1
poco hecho,B1
muy hecho,B1
salado,B1
dulce,B1
picante,B1
amargo,B1
freír,B1
hervir,B1
cocer,B1
asar,B1
aliñar,B1
condimentar,B1
cocer arroz,B1
cocer pasta,B1
hervir agua,B1
hervir leche,B1
batir huevos,B1
freír patatas,B1
freír huevos,B1
pelar fruta,B1
pelar patatas,B1
cortar el pan,B1
cortar la carne,B1
aliñar una ensalada,B1
quemarse la comida,B1
sopa de pescado,B1
sopa de verduras,B1
gazpacho,B1
cocido,B1
croquetas,B1
sabor bueno,B1
sabor agradable,B1
dulce,B1
salado,B1
amargo,B1
soso,B1
picante,B1
sentar bien,B1
sentar mal,B1
cuchara,B1
tenedor,B1
cuchillo,B1
sartén,B1
cazo,B1
mantel,B1
copa de vino,B1
copa de champán,B1
taza de café,B1
taza de té,B1
taza de desayuno,B1
vaso de agua,B1
jarra de agua,B1
jarra de cerveza,B1
recoger la cocina,B1
recoger la mesa,B1
poner los platos,B1
poner la mesa,B1
recoger los platos,B1
recoger la mesa,B1
quitar los platos,B1
quitar la mesa,B1
fregar los platos,B1
poner el lavavajillas,B1
poner el lavaplatos,B1
restaurante sencillo,B1
restaurante de lujo,B1
comida casera,B1
comida tradicional,B1
cocina india,B1
cocina andaluza,B1
cocina internacional,B1
tomar nota,B1
traer el primer plato,B1
traer el segundo plato,B1
llevarse el primer plato,B1
llevarse el segundo plato,B1
servir el primer plato,B1
servir el segundo plato,B1
tomar un aperitivo,B1
tomar una ración,B1
ir de tapas,B1
para tomar,B1
para llevar,B1
para tomar aquí,B1
para llevar,B1
campus,B1
secretaría,B1
administración,B1
centro de recursos,B1
aula multimedia,B1
colegio público,B1
colegio privado,B1
colegio concertado,B1
guardería,B1
jardín de infancia,B1
asignatura teórica,B1
asignatura práctica,B1
clase teórica,B1
clase práctica,B1
matrícula,B1
beca,B1
conferencia,B1
matricularse,B1
devolver la matrícula,B1
pedir una beca,B1
dar una beca,B1
ganar una beca,B1
hacer un intercambio,B1
hacer unas prácticas,B1
saber de memoria,B1
aprender de memoria,B1
estudiar de memoria,B1
pensar,B1
recordar,B1
olvidar,B1
enseñar,B1
test,B1
control,B1
notas,B1
hacer un examen oral,B1
hacer un test escrito,B1
hacer un control,B1
tener un examen oral,B1
tener un test escrito,B1
tener un control,B1
aprobar un examen oral,B1
aprobar un test escrito,B1
aprobar un control,B1
suspender un examen oral,B1
suspender un test escrito,B1
suspender un control,B1
corregir un examen,B1
tener un [número cardinal],B1
tener buena nota,B1
tener mala nota,B1
aprobar el curso,B1
repetir el curso,B1
bachillerato,B1
carrera,B1
máster,B1
doctorado,B1
licenciado,B1
doctor,B1
estudiar el bachillerato,B1
estudiar una carrera,B1
estudiar un máster,B1
estudiar un doctorado,B1
hacer el bachillerato,B1
hacer una carrera,B1
hacer un máster,B1
hacer un doctorado,B1
tener el bachillerato,B1
tener una carrera,B1
tener un máster,B1
tener un doctorado,B1
empezar el bachillerato,B1
empezar una carrera,B1
empezar un máster,B1
empezar un doctorado,B1
acabar el bachillerato,B1
acabar una carrera,B1
acabar un máster,B1
acabar un doctorado,B1
terminar el bachillerato,B1
terminar una carrera,B1
terminar un máster,B1
terminar un doctorado,B1
tener estudios,B1
no tener estudios,B1
tener una duda,B1
equivocarse,B1
hacer una actividad en parejas,B1
hacer una actividad en grupos,B1
hacer una actividad de forma individual,B1
hacer un esquema,B1
hacer un resumen,B1
buscar en un libro,B1
buscar en un diccionario,B1
mirar en un libro,B1
mirar en un diccionario,B1
tomar notas,B1
tomar apuntes,B1
subrayar un libro,B1
escoger un tema,B1
escoger un compañero,B1
escoger un libro,B1
elegir un tema,B1
elegir un compañero,B1
elegir un libro,B1
cambiar de libro,B1
cambiar de tema,B1
cambiar de compañero,B1
levantar la mano,B1
levantarse,B1
cambiar de sitio,B1
cambiarse de sitio,B1
salir voluntario,B1
salir a la pizarra,B1
explicar un tema,B1
explicar una lección,B1
hablar sobre un tema,B1
charlar sobre un tema,B1
relacionar,B1
comparar,B1
buscar diferencias,B1
corregir una redacción,B1
corregir un ejercicio,B1
corregir los deberes,B1
hacer un descanso,B1
hacer una pausa,B1
enciclopedia,B1
apuntes,B1
folio,B1
papel reciclado,B1
papel de impresora,B1
carpeta,B1
tinta para impresora,B1
tinta de impresora,B1
director de RR. HH.,B1
empleado de banca,B1
responsable de ventas,B1
oficio,B1
profesión liberal,B1
sustituto,B1
ayudante,B1
estudiante en prácticas,B1
trabajar para una empresa de transportes,B1
trabajar para una empresa de servicios,B1
estar de auxiliar,B1
estar de canguro,B1
departamento de recursos humanos,B1
departamento de contabilidad,B1
departamento de administración,B1
bufete,B1
laboratorio,B1
casco,B1
botas,B1
oficio,B1
profesión liberal,B1
hacer una presentación,B1
hacer un informe,B1
hacer un presupuesto,B1
hacer un proyecto,B1
hacer un pedido,B1
clasificar documentos,B1
archivar documentos,B1
atender clientes,B1
atender usuarios,B1
meter datos en el ordenador,B1
introducir datos en el ordenador,B1
oferta,B1
demanda,B1
anuncio de trabajo,B1
entrevistado,B1
entrevistador,B1
tener formación,B1
tener experiencia,B1
buscar trabajo,B1
escribir una carta de presentación,B1
enviar una carta de presentación,B1
hacer el currículum vítae,B1
presentar el currículum vítae,B1
hacer una entrevista,B1
realizar una entrevista,B1
hacer una entrevista de trabajo,B1
realizar una entrevista de trabajo,B1
firmar un contrato,B1
despedir,B1
contrato,B1
sueldo,B1
disponibilidad,B1
total disponibilidad,B1
estabilidad laboral,B1
horario flexible,B1
incorporación inmediata,B1
formación a cargo de la empresa,B1
posibilidad de promoción,B1
sindicato,B1
tener un sueldo,B1
ganar un sueldo,B1
subir el sueldo,B1
bajar el sueldo,B1
estar de vacaciones,B1
hacer huelga,B1
jubilarse,B1
vago,B1
descanso,B1
vacación,B1
cocina,B1
jardinería,B1
bricolaje,B1
ir de camping,B1
hacer un picnic,B1
hacer turismo,B1
inscribirse en un club,B1
inscribirse en una asociación,B1
