Lexical item,Level
sobre,A1
sello,A1
papel,A1
código postal,A1
banco,A1
dinero,A1
euro,A1
céntimo,A1
céntimo de euro,A1
tarjeta,A1
tarjeta de crédito,A1
cambiar dinero,A1
hospital,A1
médico,A1
enfermera,A1
policía,A1
bombero,A1
mercado,A1
supermercado,A1
tienda,A1
salida,A1
información,A1
comprador,A1
vendedor,A1
comprar,A1
vender,A1
pantalones,A1
vaqueros,A1
pantalones vaqueros,A1
falda,A1
camisa,A1
jersey,A1
zapatos,A1
bolso,A1
precio,A1
dinero,A1
billete,A1
euro,A1
céntimo,A1
céntimo de euro,A1
tarjeta,A1
pagar con tarjeta,A1
estar enfermo,A1
estar malo,A1
médico,A1
enfermero,A1
ir al hospital,A1
ir al médico,A1
farmacia,A1
agua,A1
jabón,A1
lavarse la cara,A1
lavarse las manos,A1
lavarse el pelo,A1
lavarse los dientes,A1
ducharse,A1
bañarse,A1
carné de identidad,A1
pasaporte,A1
maleta,A1
bolso,A1
plano,A1
mapa,A1
información,A1
publicidad,A1
comprar un billete de ida,A1
comprar un billete de ida y vuelta,A1
vacaciones,A1
turista,A1
horario,A1
oficina de información y turismo,A1
ir a Madrid,A1
ir a la playa,A1
ir a la montaña,A1
ir al campo,A1
ir a la playa,A1
ir a la montaña,A1
hotel,A1
habitación,A1
campin,A1
habitación doble baño,A1
habitación doble teléfono,A1
habitación doble televisión,A1
habitación doble aire acondicionado,A1
habitación individual baño,A1
habitación individual teléfono,A1
habitación individual televisión,A1
habitación individual aire acondicionado,A1
habitación con baño,A1
habitación con teléfono,A1
habitación con televisión,A1
habitación con aire acondicionado,A1
calle,A1
carretera,A1
aeropuerto,A1
puerto,A1
estación de tren,A1
estación de metro,A1
parada de autobús,A1
parada de taxi,A1
parada de metro,A1
ir andando,A1
ir en coche,A1
ir en taxi,A1
ir en tren,A1
ir en metro,A1
ir en autobús,A1
ir en avión,A1
ir en barco,A1
coche,A1
metro,A1
tren,A1
autobús,A1
taxi,A1
conductor,A1
taxista,A1
aparcamiento,A1
garaje,A1
estación de tren,A1
estación de metro,A1
estación de autobuses,A1
ir en metro,A1
ir en coche,A1
ir en autobús,A1
puerto,A1
ir en barco,A1
viajar en barco,A1
avión,A1
aeropuerto,A1
ir en avión,A1
viajar en avión,A1
carné de conducir,A1
policía,A1
dinero,A1
tarjeta,A1
caro,A1
barato,A1
cambiar dinero,A1
vendedor,A1
comprador,A1
comprar,A1
vender,A1
pagar con tarjeta,A1
empresa,A1
oficina,A1
tienda,A1
jefe,A1
director,A1
pescado,A1
número,A1
ordenador,A1
Internet,A1
correo electrónico,A1
página web,A1
país,A1
capital,A1
presidente,A1
rey,A1
reina,A1
abogado,A1
cine,A1
teatro,A1
música,A1
película,A1
concierto,A1
foto,A1
museo,A1
exposición,A1
ser interesante,A1
ser bonito,A1
ser feo,A1
música,A1
cantante,A1
cantar,A1
bailar,A1
escuchar música,A1
ir a un concierto,A1
museo,A1
exposición,A1
edificio,A1
monumento,A1
catedral,A1
iglesia,A1
libro,A1
escribir,A1
leer,A1
foto,A1
cine,A1
teatro,A1
película,A1
actor,A1
actriz,A1
ir al cine,A1
ir al teatro,A1
religión,A1
cristiano,A1
judío,A1
musulmán,A1
budista,A1
ir a la iglesia,A1
ir a la mezquita,A1
ir a la sinagoga,A1
sol,A1
mapa,A1
lugar,A1
país,A1
pueblo,A1
ciudad,A1
capital,A1
Norte,A1
Sur,A1
Este,A1
Oeste,A1
montaña,A1
mar,A1
río,A1
playa,A1
centro,A1
el centro,A1
casa,A1
calle,A1
plaza,A1
parque,A1
restaurante,A1
tienda,A1
centro comercial,A1
hospital,A1
iglesia,A1
colegio,A1
escuela,A1
museo,A1
oficina de información,A1
oficina de turismo,A1
parada de autobús,A1
parada de taxis,A1
parada de metro,A1
estación de tren,A1
estación de autobuses,A1
estación de metro,A1
campo,A1
pueblo,A1
primavera,A1
verano,A1
otoño,A1
invierno,A1
llover,A1
nevar,A1
hacer frío,A1
hacer calor,A1
hacer sol,A1
hacer viento,A1
hacer buen tiempo,A1
hacer mal tiempo,A1
animal,A1
planta,A1
flor,A1
árbol,A1
cabeza,A2
cara,A2
brazo,A2
mano,A2
dedo,A2
pierna,A2
pie,A2
oído,A2
muela,A2
garganta,A2
estómago,A2
