Group,Title,Text file,Total,Count B1,Count C2,Count B2,Count A1,Count C1,Count A2,Count,Freq B1,Freq C2,Freq B2,Freq A1,Freq C1,Freq A2,Freq,TFIDF B1,TFIDF C2,TFIDF B2,TFIDF A1,TFIDF C1,TFIDF A2,TFIDF,msttr,mattr,ttr,rttr,cttr,mtld,hdd,Herdan,Summer,Dugast,Maas
AFJ1,AFJ1_1,data/texts/AFJ1_1.txt,599,43,40,47,12,47,12,201,0.07178631051752922,0.0667779632721202,0.07846410684474124,0.02003338898163606,0.07846410684474124,0.02003338898163606,0.335559265442404,0.061217254707564756,0.05388643832376521,0.07594974065574242,0.02124907865834973,0.08730668082037266,0.01996862951466889,0.3240183676885611,0.7,0.6927088036117371,0.44280442804428044,10.308882710101386,7.289480870769443,92.12605926934303,0.8077081957322485,0.870596877413701,0.9246785557941635,48.6484860304768,0.02055562426698192
AFJ1,AFJ1_2,data/texts/AFJ1_2.txt,583,38,38,41,14,35,13,179,0.06518010291595197,0.06518010291595197,0.07032590051457976,0.024013722126929673,0.060034305317324184,0.022298456260720412,0.307032590051458,0.07221139414905023,0.05944270436456234,0.07955304682880027,0.025699933871813428,0.06788669539545196,0.02297070105625381,0.3295505099163226,0.7060000000000001,0.6988625592417055,0.491362763915547,11.215563631061082,7.930601098352509,76.09744684860095,0.8315029882209383,0.8864128853405011,0.9342392377961823,55.07446914648977,0.01815723356933593
AFJ1,AFJ1_3,data/texts/AFJ1_3.txt,322,24,29,12,9,30,7,111,0.07453416149068323,0.09006211180124224,0.037267080745341616,0.027950310559006212,0.09316770186335403,0.021739130434782608,0.3447204968944099,0.06931613616973782,0.05956130706752132,0.02393563112144938,0.015302537780532014,0.08637015590211497,0.015786724233637785,0.2715497600112116,0.66,0.6701041666666675,0.5189003436426117,8.851776764584294,6.259151375787071,62.49344262295082,0.7897352472850915,0.8843634675018884,0.9292033044285911,49.0616861696726,0.02038250370241348
AFJ1,AFJ1_4,data/texts/AFJ1_4.txt,462,23,35,28,21,20,14,141,0.049783549783549784,0.07575757575757576,0.06060606060606061,0.045454545454545456,0.04329004329004329,0.030303030303030304,0.3051948051948052,0.05156857994664995,0.07536730030698721,0.05897669926230053,0.04748787883519017,0.0493888489450914,0.027487946030733533,0.3113991173093696,0.7266666666666666,0.7171080139372815,0.5544041450777202,10.892313209168755,7.702028533011032,93.30239521652777,0.8337843601276194,0.9009608023437379,0.9415516842397943,60.136163361661175,0.016628929151764504
AMN1,AMN1_1,data/texts/AMN1_1.txt,1496,92,127,119,27,98,33,496,0.06149732620320856,0.08489304812834225,0.07954545454545454,0.01804812834224599,0.06550802139037433,0.022058823529411766,0.3315508021390374,0.0703827583926761,0.09608148863423979,0.0921703621916801,0.017978349632430037,0.07779665261876204,0.024184980916622457,0.37757018608812737,0.7453846153846153,0.7440290088638164,0.47761194029850745,17.483467670660897,12.362678548580092,114.29147682316845,0.8488339629205311,0.8973731790029119,0.9451490414578546,70.16123877742697,0.014252884034335646
AMN1,AMN1_2,data/texts/AMN1_2.txt,1123,80,72,71,23,54,30,330,0.07123775601068566,0.06411398040961709,0.06322350845948353,0.020480854853072127,0.04808548530721282,0.026714158504007122,0.29385574354407834,0.08255984228056092,0.07464690291654429,0.08382433669066924,0.02436589638608012,0.06900548886592944,0.032076750555250916,0.365805632998901,0.7566666666666667,0.7483483146067431,0.5156723963599595,16.21705651909678,11.46719063553884,120.41034618602836,0.8543785966627543,0.9039708628425593,0.9477183099759977,71.81876809239174,0.013923936967472671
AMN1,AMN1_3,data/texts/AMN1_3.txt,549,34,21,37,6,23,14,135,0.061930783242258654,0.03825136612021858,0.06739526411657559,0.01092896174863388,0.04189435336976321,0.025500910746812388,0.2459016393442623,0.07708849596500368,0.04846124195318807,0.0786766347807857,0.014465433657267547,0.0574169921063958,0.025340736025437766,0.30080394586221043,0.7649999999999999,0.7579665738161557,0.6026200873362445,12.896633053041539,9.119296686280238,124.79021868372607,0.8607320700746194,0.9173365216103826,0.9524015776664474,74.11821161500657,0.013491960723422689
AMN1,AMN1_4,data/texts/AMN1_4.txt,773,37,48,57,20,36,19,217,0.047865459249676584,0.062095730918499355,0.07373868046571798,0.0258732212160414,0.04657179818887452,0.02457956015523933,0.2807244501940492,0.053117831578942176,0.06411528319080753,0.08558713212297485,0.032778289580034085,0.06473296726499732,0.03201893264148019,0.335121110265762,0.7799999999999999,0.7735314685314684,0.563338301043219,14.592528149513257,10.318475609176406,141.2179322999293,0.8795319097041226,0.9118304967843583,0.9507241027405954,73.82109345736902,0.013546263719020778
API1,API1_1,data/texts/API1_1.txt,422,30,32,38,4,24,7,135,0.07109004739336493,0.07582938388625593,0.09004739336492891,0.009478672985781991,0.05687203791469194,0.016587677725118485,0.31990521327014215,0.050638626464174774,0.03888388725910526,0.07851725441267247,0.006549749887012824,0.057793644540059426,0.010524032706474984,0.249220953359805,0.6566666666666666,0.677454545454546,0.4893048128342246,9.46270472690885,6.691142680763245,69.08058510638298,0.8141907902901687,0.8793486187944398,0.9277291336864353,49.102262553638404,0.020365660317742354
API1,API1_2,data/texts/API1_2.txt,744,42,47,66,13,40,19,227,0.056451612903225805,0.06317204301075269,0.08870967741935484,0.01747311827956989,0.053763440860215055,0.025537634408602152,0.30510752688172044,0.06354505263737355,0.05947055266772972,0.09232665612312976,0.012505593696129734,0.05922439701018976,0.026511205116099182,0.31452985099117997,0.6883333333333334,0.6969272727272716,0.4622496147919877,11.776030079682894,8.326910724800534,75.36263927576601,0.8411960199720399,0.8808341811571399,0.9320744973197392,54.33968213018382,0.01840275763123271
